business_id,year,turnover,turnover_change_pct,operating_profit,operating_margin_pct,solvency_ratio,balance_sheet_total,num_employees,ebitda_margin_pct,roi_pct,equity_total,net_income,quick_ratio,current_ratio
27974673,2019,5000.0,-93.80,-35000.0,-40.00,0.38,653000,9,-40.00,-3.90,246000,-22000.0,21.40,21.40
27789718,2023,851000.0,2139.50,-104000.0,-11.20,-93.00,3000,5,57.50,-69.30,-279000,-95000.0,0.00,0.00
27789718,2022,38000.0,280.00,-177000.0,-465.80,-1.75,719000,9,-410.50,-116.90,-161000,-177000.0,0.20,0.10
27789718,2021,10000.0,-63.00,-127000.0,-1220.00,0.09,320000,7,-1210.00,-82.00,19000,-122000.0,0.10,0.10
27789718,2020,27000.0,125.00,-32000.0,-32.90,0.48,199000,7,-32.90,-25.50,97000,-27000.0,0.10,0.10
27789718,2019,12000.0,1100.00,-10000.0,-5.90,0.23,101000,2,-5.90,-3.00,25000,-2000.0,0.50,0.60
28771149,2024,78000.0,110.80,-34000.0,-33.30,0.03,121000,1,-3.80,-57.10,16000,-26000.0,0.10,0.10
28771149,2023,37000.0,15.60,-167000.0,-445.90,0.06,113000,5,-378.40,-226.20,19000,-165000.0,0.10,0.10
28771149,2022,32000.0,-27.30,-242000.0,-750.00,0.31,112000,6,-665.60,-284.00,48000,-240000.0,0.90,1.20
28771149,2021,44000.0,633.30,-121000.0,-158.70,-0.09,89000,4,-129.30,-130.10,10000,-119000.0,0.10,0.20
28771149,2020,6000.0,,-1000.0,1.00,0.40,114000,3,13.50,1.00,68000,1000.0,0.90,2.00
27204417,2023,,,2000.0,,-17.00,1000,1,,,-17000,2000.0,0.00,0.00
27204417,2022,,,0.0,,-19.00,1000,1,,,-19000,1000.0,0.10,0.10
27204417,2021,,,5000.0,,-4.75,4000,1,,,-19000,6000.0,1.00,1.00
27204417,2020,,,3000.0,,-11.50,2000,1,,,-23000,4000.0,0.70,0.70
27204417,2019,,,-3000.0,,-8.67,3000,1,,,-26000,-2000.0,0.60,0.60
33441697,2023,,,-138000.0,-233.90,0.90,236000,2,-211.90,-70.00,213000,-138000.0,7.60,7.60
29480853,2023,758000.0,-23.20,400000.0,34.60,0.43,472000,6,34.60,100.10,205000,486000.0,1.70,1.70
29480853,2022,987000.0,6.80,-256000.0,-20.30,-0.34,578000,11,-12.20,-40.40,-195000,-201000.0,0.10,0.70
29480853,2021,924000.0,73.40,56000.0,8.70,0.11,570000,11,14.80,29.70,62000,83000.0,0.60,1.00
29480853,2020,533000.0,151.80,62000.0,11.20,0.03,208000,8,11.20,59.60,6000,70000.0,0.60,1.70
29480853,2019,247000.0,,-59000.0,-18.40,-0.57,99000,5,-18.40,-44.90,-56000,-54000.0,1.00,1.40
27893478,2023,3374000.0,-14.20,1970000.0,73.60,1.00,1983000,0,73.60,115.80,1976000,2483000.0,283.30,283.30
27893478,2022,3931000.0,-33.20,2302000.0,74.30,0.99,2330000,0,74.30,102.40,2311000,2919000.0,122.60,122.60
27893478,2021,5885000.0,39.00,3382000.0,72.30,0.87,3885000,,72.40,156.50,3391000,4257000.0,7.90,7.90
27893478,2020,4234000.0,49.20,2168000.0,65.10,0.78,2642000,0,65.10,156.50,2050000,2758000.0,4.50,4.50
27893478,2019,2838000.0,,1419000.0,62.30,0.75,1852000,3,62.30,229.70,1475000,1769000.0,4.90,4.90
31571076,2023,230000.0,5.50,-303000.0,-123.90,0.08,392000,6,-100.90,-90.00,254000,-285000.0,1.70,1.60
31571076,2022,218000.0,1.30,-233000.0,-106.90,0.80,414000,6,-89.90,-99.40,333000,-233000.0,3.30,3.30
31571076,2021,287000.0,,62000.0,16.60,0.61,190000,5,18.50,45.80,116000,77000.0,2.00,2.00
32501109,2023,27000.0,687.50,-57000.0,-203.60,0.66,347000,3,-178.60,-28.70,324740,-57000.0,10.30,10.30
32501109,2022,4000.0,,-20000.0,-47.90,-0.30,55407,2,-47.90,-25.30,50258,-20000.0,3.50,3.50
27759025,2023,2340000.0,5.70,-1049000.0,-43.40,0.38,2190000,21,-37.50,-63.10,823258,-1037000.0,1.50,2.30
27759025,2022,2214000.0,105.10,-36000.0,-0.90,0.59,1903000,13,4.40,-1.70,1124192,-22000.0,1.90,2.80
27759025,2021,1079000.0,28.30,-158000.0,-12.00,0.50,1162839,12,-1.60,-16.30,581232,-142000.0,1.60,3.10
27759025,2020,841000.0,6.50,-12000.0,2.00,0.45,857908,7,9.00,3.30,389256,19000.0,1.80,2.70
27759025,2019,790000.0,128.30,-55000.0,-4.60,0.08,524000,6,1.60,-9.70,176000,-36000.0,0.70,1.30
27944511,2023,233000.0,19.50,72000.0,31.30,0.14,175000,2,31.30,89.60,15000,73000.0,3.40,1.50
27944511,2022,195000.0,-1.50,33000.0,17.90,-1.46,101000,2,17.90,41.40,-57000,35000.0,2.50,1.00
27944511,2021,198000.0,-5.70,187000.0,54.20,-5.29,67000,2,54.20,114.40,-90000,187000.0,1.70,0.80
27944511,2020,210000.0,59.10,6000.0,3.80,0.00,24000,2,3.80,3.80,-277000,8000.0,0.30,0.20
27944511,2019,132000.0,6.50,-101000.0,-74.20,0.00,4000,2,-74.20,-47.00,-283000,-98000.0,0.20,0.10
27343126,2023,678000.0,11.30,8000.0,2.10,0.40,648000,7,22.60,3.20,213000,14000.0,1.70,0.80
27343126,2022,609000.0,42.70,69000.0,12.60,0.38,696000,6,30.70,17.50,205000,77000.0,1.60,0.80
27343126,2021,320000.0,21.20,23000.0,8.50,0.29,580000,6,26.50,8.70,136000,28000.0,1.40,0.80
27343126,2021,352000.0,-3.60,141000.0,32.70,0.25,587000,6,45.90,41.90,113000,145000.0,2.90,1.30
27343126,2020,365000.0,164.50,137000.0,38.60,-0.10,368000,7,51.80,56.40,-28000,141000.0,1.60,0.70
31694199,2024,178000.0,-79.60,-51000.0,-42.10,-1.61,46000,2,-41.00,-36.10,-74000,-75000.0,0.30,0.30
31694199,2023,871000.0,314.10,-359000.0,-37.20,-4.40,82000,6,-34.00,-173.10,-361000,-334000.0,0.70,0.70
31694199,2022,298000.0,,-302000.0,-100.00,-20.50,258000,6,-99.00,-484.50,-82000,-302000.0,2.50,0.70
32510435,2024,,,0.0,,0.00,,,,,0,,,
32510435,2023,,,0.0,,0.00,,,,,0,,,
32510435,2022,,,0.0,,0.00,,,,,0,,,
28844264,2023,2000.0,-50.00,-7000.0,-233.30,-3.83,6000,,-133.30,-70.00,-3000,-7000.0,,
28844264,2022,4000.0,-63.60,-15000.0,-350.00,-1.54,11000,,-50.00,-60.90,3000,-14000.0,,
28844264,2021,11000.0,-26.70,-8000.0,-61.50,-0.06,35000,,38.50,-19.80,18000,-8000.0,9.50,9.50
28844264,2020,15000.0,87.50,-5000.0,-14.80,0.13,46000,,33.30,-7.80,26000,-4000.0,3.40,3.40
28844264,2019,8000.0,-26.70,-16000.0,-69.60,0.18,62000,,-34.80,-24.80,31000,-16000.0,1.30,1.30
27251395,2023,1249000.0,36.80,-295000.0,-23.60,-0.54,526000,3,-23.50,-146.30,260000,-295000.0,7.40,1.90
27251395,2022,913000.0,18.70,-362000.0,-36.20,0.67,440000,2,-36.10,-116.50,116000,-360000.0,7.30,1.30
27251395,2021,769000.0,117.80,-178000.0,-23.90,0.92,849000,2,-23.90,-58.80,478000,-186000.0,20.80,2.20
27251395,2020,353000.0,305.70,-31000.0,-8.00,0.06,153000,2,-8.00,-39.70,117000,-31000.0,7.20,3.70
27251395,2019,87000.0,155.90,-256000.0,-294.30,0.66,78000,,-294.30,-616.90,39000,-256000.0,2.90,2.90
34493958,2024,,,-17000.0,-340.00,0.97,29000,,-340.00,-117.20,28000,-17000.0,20.00,20.00
28507786,2023,1000.0,,-1273000.0,-9999.90,0.70,1603000,10,-9999.90,-59.70,1115000,-1273000.0,9.80,9.80
28507786,2022,,,-343000.0,,0.85,2800000,7,,-23.10,2388000,-333000.0,6.20,6.20
28507786,2021,1000.0,0.00,-31000.0,-60.80,-0.21,128000,3,-60.80,-40.80,23000,-31000.0,19.00,19.00
28507786,2020,1000.0,-92.30,-4000.0,-400.00,1.00,2000,0,-400.00,-133.30,3000,-4000.0,,
28507786,2019,13000.0,147.60,1000.0,7.70,0.80,5000,0,7.70,18.20,4000,1000.0,4.00,4.00
31680168,2023,66000.0,1220.00,-107000.0,-77.00,0.91,175000,4,-60.40,-46.50,160000,-107000.0,6.60,7.00
31680168,2022,5000.0,17.10,-83000.0,-162.70,0.87,306000,3,-162.70,-40.50,267000,-83000.0,8.10,8.10
31680168,2021,5000.0,,-3000.0,-53.70,0.99,111621,0,-53.70,-2.30,109919,-3000.0,65.60,65.60
31255831,2023,94000.0,487.50,-457000.0,-483.00,0.61,1968000,6,-337.20,-38.60,1207000,-454000.0,1.90,2.40
31255831,2022,16000.0,,-156000.0,-532.10,0.30,730000,3,-360.70,-41.70,217000,-149000.0,2.20,2.20
31255831,2021,,,0.0,6.00,0.04,57000,2,16.00,4.30,2000,3000.0,1.20,1.20
31255831,2020,2000.0,,-3000.0,-100.00,0.39,83000,0,-100.00,-2.90,32000,-2000.0,,
30883449,2023,,,-1695000.0,-6050.00,0.27,1563000,,-3214.30,-91.50,422000,-1694000.0,2.70,2.70
30883449,2022,,,-1695000.0,,0.63,2507000,20,,-57.20,1575000,-1686000.0,8.40,8.40
30883449,2021,,,-1210000.0,,0.88,3710000,18,,-49.40,3270000,-1142000.0,20.90,20.90
30883449,2020,,,-808000.0,,-2.41,335000,,,-61.90,-68000,-807000.0,0.10,0.10
28648992,2023,90000.0,-2.20,-38000.0,-34.40,-5.57,21000,3,10.00,-32.70,-110000,-31000.0,0.30,0.30
28648992,2022,92000.0,41.50,-77000.0,-79.30,-1.46,54000,4,-37.00,-70.20,-72000,-73000.0,0.30,0.30
28648992,2021,65000.0,-50.80,-26000.0,-35.40,-0.02,129000,4,10.80,-32.10,5000,-23000.0,1.80,1.90
28648992,2020,132000.0,46.70,22000.0,20.40,0.34,71000,3,25.50,175.00,24000,28000.0,1.20,1.20
28648992,2019,90000.0,1025.00,24000.0,26.70,0.02,41000,3,34.40,154.80,1000,24000.0,0.50,0.50
27937805,2023,17000.0,-32.00,-1334000.0,-7176.50,-0.24,2903000,9,-4335.30,-35.70,1279000,-1220000.0,0.00,0.00
27937805,2022,25000.0,-35.90,-723000.0,-2664.00,0.16,3887000,,-1852.00,-21.90,631000,-666000.0,0.50,0.50
27937805,2021,39000.0,56.00,-235000.0,-270.20,0.46,2875000,,-194.00,-15.60,1333000,-227000.0,2.40,2.40
27937805,2020,25000.0,25.00,-53000.0,-95.20,0.19,210000,2,-31.00,-23.10,39000,-40000.0,0.30,0.30
27937805,2019,20000.0,53.80,-20000.0,-25.60,-0.03,152000,1,23.10,-7.70,-4000,-10000.0,1.90,1.90
31676548,2023,,,-267000.0,,0.70,1216000,3,,-43.60,852000,-261000.0,4.00,4.00
31676548,2022,,,-35000.0,-140.00,0.80,149000,1,-88.00,-25.50,119000,-35000.0,1.10,1.10
31676548,2021,,,-3000.0,,1.00,154000,,,-1.70,154000,-3000.0,,
26934389,2023,4018000.0,5.40,-671000.0,-16.10,-2.00,1178000,,-8.20,-25.80,-519000,-649000.0,0.10,0.10
26934389,2022,3812000.0,5.00,-1030000.0,-26.60,-1.12,1434000,46,-18.50,-53.80,-132000,-1018000.0,0.20,0.20
